comment,id,date,num_likes
"Today we have a renewal for the joints, tissues, muscles, renewal for the mind and spirit too.<br /><br />How are you feeling after today&#39;s full class?",Yoga With Adriene,2021-04-05T13:28:30Z,699
I just absolutely love All of your practices Adriene. I just want to say the gentle ease about you is so refreshing and comforting. Thank you for being you and thank you for your wonderful work to help us really connect and get our minds and bodies right.,Lauren Kluemper,2021-05-07T12:47:18Z,0
@Kirsten Reed me too!! Teared up when I said thank you.,Kat Brazier,2021-05-04T17:20:41Z,0
Super relaxed! :) amazing,Manon Hilhorst,2021-05-04T15:14:14Z,0
I love youuuuuuuu. feel awsome,mina habibi,2021-05-04T09:22:15Z,0
"Love you, Adriene!",Weeknd,2021-05-04T04:24:28Z,0
"This was an amazing session. Thank you, Adriene, for another focused and uplifting session!",KTs Monthly Workout Challenges,2021-05-08T19:44:50Z,0
Namaste! I was feeling old and creaky like the floor at the start. My hips thank you.,NancyB,2021-05-08T15:08:13Z,0
Thank you Adriene,Sarah Longhurst,2021-05-08T12:55:09Z,0
"Adriene, please do yoga for hikers! 🙏❤",Shelby Cook,2021-05-08T10:13:59Z,0
"Adriene, you are the best!  Love your voice, your poses, your pacing.  You are a magnificent yoga teacher!",Caroline Morse,2021-05-08T00:22:09Z,0
This one should be called HOLY HIPS! Such a good and releasing practice,Joanna Pollard,2021-05-08T00:02:07Z,0
"Thanks Adrienne, needed this. 😊",Kyle Read,2021-05-07T21:48:41Z,0
Thank you♥️♥️♥️,Amalita Angulo,2021-05-07T19:46:52Z,0
Thank you!,Theresa Wolner,2021-05-07T00:17:24Z,0
Just the kind of practice I needed today! Thankyou Adriene!,Arthi Ramesh,2021-05-06T23:19:35Z,0
"I have stopped my yoga practises for a while now. I have been caught up with a lot of things, school, work, mental issues. And today I decided in the midst of chaos and overwhelmingness to finally start practicing yoga again. Namasté, have a good day, evening, and life! Stay strong, sending you lots of courage and self love your way! &lt;3",Biliana Ivanova,2021-05-06T19:33:38Z,0
Thank you Adriene!! Your direction and guidance takes me to a whole new level every time and helps me turn off competitive mind and turn on present mind. Thanks you again. &lt;3,Gee Wilikers,2021-05-06T16:57:03Z,0
Whenever I feel like I am losing my way I click on your videos and practice and try to get my life back together. Thank you Adriene. ❤️,Arunabh Mishra,2021-05-06T16:03:26Z,0
"I hope this doesn&#39;t come across as creepy, but you can hear Adriene&#39;s heartbeat through the entire practice. I found it to be so cute!",Sara Altuna,2021-05-05T23:34:31Z,0
thank you adriene,Randy Laney,2021-05-05T16:31:24Z,0
grate Practice You have inspire me to become a yoga teacher,Our Relaxing Life,2021-05-05T15:44:40Z,1
This was fun!,Stephanie x,2021-05-05T15:43:02Z,0
Thank you Adriene - and hello from Australia!,David John Lee,2021-05-05T03:52:39Z,0
That was incredible!!! &lt;333,sarajinki,2021-05-04T23:31:20Z,0
"Such a lovely, restorative, calming practice. Feel so much better after that and I didn&#39;t even feel bad before!",Farah Anwar,2021-05-04T20:39:27Z,0
"The practise I needed today! Feeling filled with love after this one, Thank you! xx",Martruida Bruggeman,2021-05-04T19:32:37Z,0
"I haven&#39;t shown up to my mat in a few weeks due to health issues and this is the perfect restarter yoga practice!  I&#39;m feeling on the mend and plan to continue my daily yoga practice with Adriene and all of you!  I hope everyone has a wonderful day filled with love, joy, and kindness! Namaste!",asieg001,2021-05-04T13:36:25Z,0
"Thanks Adriene, I&#39;m recovering from a bug and did yr yoga for sickness the other day, today feeling improved so decided to do this class, it challenged me but in a good way, I really appreciate your guidance and tips. I prefer these slower classes, as you say,  I do get to dialogue with my body more. Really noticing my hip flexors feeling less flexible and sore, so that was good imput. Thanks Hon x",wendy tobiassen,2021-05-04T09:49:16Z,0
The subtitles are too big to block the demonstration,Chew Sook Chou,2021-05-04T03:57:18Z,0
This is such a blessing this practice just changed my life!!!! Thank you so much 💕💕💕💕 I am so grateful for you 🙏🏼🙏🏼🙏🏼,tara noori,2021-05-04T00:26:20Z,0
Just got over being sick from second vaccine. This was very nice.,Sarah Sturm,2021-05-03T20:58:01Z,1
"Adriene, you are changing the entire world in a MASSIVE way. I love you, and thank you for what you do.",Tucker Gallagher,2021-05-03T20:57:48Z,2
Loved this one! My hips needed this big time!,Brian Marquis,2021-05-03T20:28:31Z,0
Thank you Adriene for my fresh start today :) I just recently lost my mom to stage 4 lung cancer and things have been really heavy. It feels like I’m finally allowing a little space in between breaths again. Sending love out there to anyone suffering right now 🧡,The Garlic Smash,2021-05-03T15:23:51Z,6
Sending you lots of love and light to your world x,YellowBricks123,2021-05-08T14:01:56Z,0
love to you,Lindsey Pharr,2021-05-07T23:36:29Z,0
My floor creaked at the same time as Adriene&#39;s 🌈🌈🌈🙏🙏🙏,Shayna Fitzsimmons,2021-05-03T14:39:21Z,0
I have been practicing with Adriene for a few years now and I am always sooo excited once I hear the intro song &lt;3,Raihaanah Hall,2021-05-03T14:23:22Z,1
"Thank you from a tired,sciatica,ibs California mommy at 2:15am - much needed daily this alone stretching time",Sandi Gordon,2021-05-03T09:56:36Z,1
"Thank you Adriene, that practice got my joints moving and my spirit! Namaste!",Sarah Taylor,2021-05-03T08:41:11Z,1
"lovely as always, thanks!!",evitahluna,2021-05-03T06:41:22Z,0
Can you please make a yoga for autoharp players?  Or fiddle players?  ❤️,Laura Bean,2021-05-03T03:54:56Z,0
"Just got back into doing yoga. Oh my goodness, I really appreciate you wear clothes. There are a lot of scantily clad ladies who just film themselves doing poses without even teaching. They&#39;re for the views, you actually help. Thank you. And much respect for respecting yourself.",odnewdylee,2021-05-02T20:30:01Z,3
My favorite practice of yours yet! Thank you so much.,Hannah Hefner,2021-05-02T20:29:09Z,0
Is the breathe program beginner friendly?,Ananya Singh,2021-05-02T19:47:06Z,0
a new video &lt;3,L A,2021-05-02T17:57:27Z,0
thank you so much for this practice 💓,C .Wozniak,2021-05-02T17:34:36Z,0
As always an amazing practice. Thank you for sharing such amazing yoga. 🧘🏼‍♀️🙏💙,Yoga For Irish Dance,2021-05-02T17:33:08Z,0
"This was exactly what I needed today... first yoga since tonsil and adenoids surgery (the most challenging and uncomfortable physical experience of my life) and ready to heal, strengthen, and start fresh. Thank you Adrienne and Benny, love and light ❤️❤️",Hannah Schwartz Fields,2021-05-02T17:11:44Z,0
"What a blessing you are to all of us, Adriene.  Thank you and Namaste!",DSStephen1,2021-05-02T15:37:11Z,0
Starting your 30 Days tomorrow. Maybe I can incorporate your May schedule alongside? Let’s see.,Vearle Avni,2021-05-02T14:43:22Z,0
"You&#39;ve changed my life, everyday I can find a practice that suits how I&#39;m feeling. It&#39;s truly amazing and I would not be able to consistently do yoga if it weren&#39;t for your channel. Thank you Adriene, you&#39;re helping the world heal 💕",Taylor Jengo,2021-05-02T13:25:45Z,0
"What a wonderful thing it is to make people feel loved even though you have never met them - that is such a gift, Adriene. Thank you, I love you, Namaste. ❤️",Lou Milligan,2021-05-02T12:02:22Z,0
Thank you ❤️,Joeffison Andrade,2021-05-02T09:35:21Z,0
