comment,id,date,num_likes
This session is not a fix all but I think it does a damn good job of gently putting you in an empowered role to center in your awareness and guide yourself forward. <br />Because no one else can do that for you. <br />No guru. It has to be you.<br /><br />How are you feeling after today&#39;s practice?,Yoga With Adriene,2021-03-07T14:03:03Z,1056
"Feeling great! Thanks, Adriane! You are the best!",Roxana Droj,2021-05-09T06:30:45Z,0
Great. Thank you for uploading!,Mal-icious,2021-04-18T15:07:16Z,0
@Tobias Gerald i will try it out right now. Seems promising :),Eden Kristian,2021-04-12T09:20:01Z,0
Not sure if anyone cares at all but in less than 15 minutes I hacked my friends Instagram password by using Instapwn. Just google for it ;),Tobias Gerald,2021-04-12T09:04:16Z,0
Thank you all! First session in some time.,S. Rodriguez,2021-04-10T22:50:32Z,0
just a wondeful session! thank you from Israel 3&gt;,Rina Posner,2021-05-09T05:13:17Z,0
Amazing yoga 🧘‍♀️ practice! Thank you 😊,Ilona Savchuk,2021-05-08T17:37:50Z,0
Grateful for your videos. They are a significant part of my day. (:,meir schottenstein,2021-05-07T13:04:19Z,0
Thank you really helped with my anxiety,teyiu,2021-05-07T12:18:26Z,0
"I&#39;m going through a really stressful time at work right now, and I really needed this today. Thanks Adriene",Margaret Darrow,2021-05-06T21:26:37Z,0
Thank you. This is how I needed to start my day. :) Sending lots of love to everyone doing this practice.,Joeffison Andrade,2021-05-06T06:25:58Z,0
"This was really good for getting back into exercising after a break, but it was a little long.",Melanie Vergunst,2021-05-06T02:11:08Z,0
"At points I thought your neighbors were playing music, and then I realized that I was hearing your heart beating.  Now that is a sign of a loving practice!  Thanks for all you do!!",DSStephen1,2021-05-05T14:32:42Z,0
Love you &lt;3,Mirja Julie Meyer,2021-05-05T04:47:47Z,0
"My friends and I used to work out in a friends home gym pre-covid. Once we all had to stay home, we kept our workouts going virtually this past year with you! We are all vaccinated and today was our last virtual yoga session, and I felt this video was very fitting for today:) Virtual workouts weren’t as great as in person... but doing yoga with you and my friends was wonderful and I’m gonna miss it (although I’m still going to do it on my own... or at least try!) thanks for everything:)",Tara Summerville,2021-05-04T20:13:00Z,0
"This class renewed my relationship with Yoga.  I feel calm and energized at the same time.  Thank you for your beautiful, positive energy.  You are a gem.  Namaste.",Donna Burton,2021-05-04T15:20:09Z,0
Today I found what feels good.,zenzen49,2021-05-04T13:24:27Z,0
Really need this! :),Ko0lKidK1lla,2021-05-03T21:40:41Z,0
Find myself saying his over and over but it’s just what I needed. Grateful,Jose Eduardo Ramos,2021-05-03T16:10:16Z,0
Awesome class always,Yoga with Bella,2021-05-02T23:45:25Z,1
Thank you so much for this renewal yoga. ❤️,Gie Samson,2021-05-02T23:42:55Z,1
thank you Adriene! I listened to a great podcast you did! loved learning about you :),Julia Wendy,2021-05-02T14:00:51Z,1
Amazing class,Nermine Raslan,2021-05-02T00:13:06Z,1
"This felt so good, was exactly what I needed today. Thank you Adriene! 🥰",Deana Blondell,2021-04-30T00:38:14Z,0
"Excited to resume practice again. Love everything about yoga because of you, Adriene.",Arthi Ramesh,2021-04-29T23:10:19Z,0
This practice makes me feel sooo gooood! It´s been a long day at work and right now I´m ready to begin the last part of this Thursday. Thank you for guidning me towards my best self Adriene Dearest! &lt;3,Lotta Davidson-Bask,2021-04-29T17:27:31Z,0
Without a qualified instructor you cannot receive the benefits.  Adrienne is unqualified to bestow any usable benefits so she is a waste of time,walter cabey,2021-04-29T16:36:58Z,1
I really enjoyed this one! I have really weak wrists so I’m always looking for videos that won’t strain them,LeeWhy,2021-04-29T05:43:02Z,0
"Second time I try this one. And again I couldn’t finish it. So so sooooo tired, I feel like my body is gonna collapse",Sarah Bezerra,2021-04-28T16:40:31Z,0
Just wanted to say thank you to you and anyone who helps make these vids; absolutely love them,Dylan Gaul,2021-04-28T13:03:55Z,0
♥,TrueTotally,2021-04-28T08:39:05Z,0
It feels soooooooo gooooooood to be back!,Sara Altuna,2021-04-27T22:52:32Z,0
My knees panic when they hear knocking on heaven’s door,James Featherstone,2021-04-27T18:57:28Z,0
I&#39;m feeling proud of myself because I completed this again and managed to go from plank to chaturanga to cobra for the first time ever 😎 I could only do it properly twice in a row but I did it finally,knittedpainting,2021-04-27T10:11:08Z,0
"Love you Adriene, it’s always supper fresh to start my morning with your video. Thank you for sharing x",Thai Lemongrass,2021-04-27T07:27:46Z,0
