comment,id,date,num_likes
"To skip the ads, drag the red dot on the player all the way to the end, then hit replay.",Jessica FrancoBaier,2021-05-05T22:40:15Z,0
"my back hurts but my breath... wow, thank you",Rafael Montrucchio,2021-05-04T12:59:39Z,2
yeah,Cecilia Urban,2021-05-04T13:20:53Z,1
❤❤,Preeti Bajaj,2021-04-22T14:00:35Z,0
The ADs really ruin all my attention and calmness,هند,2021-03-29T11:32:36Z,0
"Love it @Phyllicia. So calming.<br />From lifting weights in the gym, through steady state cardio, HIIT, Pilates and now Vinyasa Yoga.<br />My cardio is so much better, I can run for the bus without being winded, and am almost able to touch my toes. Yes, my hamstrings, calfs and ankles are still tight, but not as tight. These classes have made such a positive impact on my boys and mind. You have helped with these changes, and for this I genuinely thank you.",Paul Stanley,2021-03-12T10:18:12Z,0
"Séance de yoga dynamique pour bien se réveiller <br />Merci,  thank you",Mag Chab,2021-02-23T08:07:19Z,0
I enjoyed your practice. I sweat more than I expected. I enjoyed the Upward dogs especially since I&#39;m slowly getting stronger every day. Thanks😀,JB,2021-02-17T12:32:12Z,0
Thank you! This was a great tune up for my whole body. You are beautiful!,Gretta V.,2021-02-16T02:16:19Z,0
4 ADS!!!!! We trying to workout or buy new broadband??,Eliza Cormack,2021-02-09T18:17:06Z,3
This workout was very restorative and I felt more connected and grounded afterwards. I love this golden yellow workout set. Where is it from?,Sherese Jackson,2021-01-17T15:24:06Z,0
"Lovely flow, perfect pace and rejuvenating poses, thanks Phyllicia and PS ❤️🙏",TheSupersizzina,2021-01-17T00:13:14Z,0
Thanks very much,nancy3adel Nosa,2021-01-13T08:24:16Z,0
Thank you! For a beginner like me I found this practice perfect and not too hard to follow! :D,Martina Magrì,2021-01-08T10:22:59Z,0
"4 ads is alot and very distracting. I thought the yoga workout was going to be more intense, this was too slow. This video is good for mostly relaxing though, but I which the music was a little louder. Could barely hear it.",Malika Mathis,2020-12-29T15:28:33Z,0
Non can compare to what energy anna renderer used to bring!!!,Shreya Chittranshi,2020-12-18T14:30:25Z,1
I love Anna too! She has a couple of recent videos out there. They&#39;re great.,JB,2021-02-17T12:29:58Z,0
The instructor looks so serious and not nice or positive,elinor kent,2020-12-16T17:55:41Z,1
"I thought she had a lovely, calm demeanor. It&#39;s a yoga flow not a high energy cardio workout, I don&#39;t think I&#39;d want an instructor being loud and exuberant.",rose/rose,2020-12-22T06:39:46Z,4
was hoping for something more intense. anyways thank you.,Dina,2020-12-16T08:18:01Z,1
"Wonderful practice, Phyllicia — thank you!",Andreas Mehne,2020-12-09T01:58:59Z,4
You are so beautiful &amp; talented!! Great video,Emiley_G,2020-12-08T15:26:50Z,2
Great yoga workout! I feel more energized and relaxed 🙂,Monique Jenkins,2020-12-06T06:39:58Z,1
"I, personally, like this yoga workout",Anery Bartkevich,2020-12-02T16:05:32Z,3
Love to hear that! What was your favorite pose?,POPSUGAR Fitness,2020-12-02T20:03:03Z,1
"Fun flow but waaaayyy too many banner adds to click off.  You all realize that we are supposed to actually see the instructor while doing these poses, right?  Sorry, but won&#39;t do this vid again.",Sarah Palmani,2020-12-02T01:55:57Z,3
Way too many ads to get in the flow. Kept having to pause and close out of yet another ad.,Natalie Kaplan,2020-12-01T23:45:45Z,6
Get an ad blocker extension for your browser! :) It helps HEAPS!,Kat Elesin,2020-12-19T15:01:40Z,2
"Didn&#39;t like this, too slow :(",Evelina k,2020-12-01T16:04:43Z,2
"How to Maximize the Power of Yoga <a href=""https://payhip.com/b/7oUB"">https://payhip.com/b/7oUB</a>",kanishka viraj,2020-12-01T07:21:13Z,0
"Background sound here ...💜 <a href=""https://newsonthegotoday.com/3mtfog"">https://newsonthegotoday.com/3mtfog</a> 🧘‍♀️",The Vibes Channel,2020-12-01T02:47:36Z,0
Great video. I definitely feel refreshed.,Donnalee Digital,2020-11-30T21:04:24Z,6
Awesome! This is a great workout for starting and/or ending the day.,POPSUGAR Fitness,2020-12-02T20:28:11Z,1
"POPSUGAR Fitness is best fitness video creator. I actually created my own channel to show even more fitness videos, it&#39;s called <b>PILATESNESS</b> . Come and check it out, I will always follow.",Pilatesness,2020-11-30T17:49:52Z,0
🧘🏽What’s the average calorie burn?,Phyl Sands,2020-11-30T13:18:26Z,1
mine was 35 cal.,Dina,2020-12-16T08:18:40Z,1
♥️♥️♥️♥️♥️♥️♥️♥️♥️,Yasmen Alhasane,2020-11-30T13:12:07Z,1
