comment,id,date,num_likes
"Looking forward to this, much needed, thank you in advance.",Latrice Byrd,2020-12-11T16:30:44Z,22
We hope you enjoy this session and go int your day feeling grounded and centered.,POPSUGAR Fitness,2020-12-13T17:12:47Z,2
This workout has truly helped me to regain my flexibility. As a female nearly 50 yrs old. I found my body becoming less flexible over the last few years which was scary for me because I was always super flexible.  Thank you for this amazing deep stretch video.,Crystal Foos,2021-05-06T16:52:55Z,0
👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,Kadriye UYANIK,2021-05-01T16:37:09Z,0
Not her being my art teacher who never shows up to class-,Naileadalazypotato,2021-04-29T02:17:52Z,0
Wait what lmfoaai,Mars • Mellow,2021-05-07T12:27:33Z,1
she resigned today 😻,The Robloxians,2021-05-03T19:35:36Z,1
Really nice for a Sunday morning.  I found the pace to be just right for me.,jhgreen14,2021-04-18T10:22:48Z,0
"i think the flow was a perfect pace, haha usually it&#39;s wayyy faster and i can&#39;t keep up. this was great.",ouija bored,2021-04-14T03:44:43Z,0
Too many poses and they are very fast,Sneha Titus,2021-04-10T05:21:08Z,0
who&#39;s this angel wow,Connie B.,2021-04-07T04:30:53Z,0
It was really good,Tshegohatso Malepe,2021-04-02T13:48:47Z,0
"I fully enjoyed this practice. It threw me for a loop when the practice was inspired by T, I’ve never heard that before and was genuinely interested. But as a Yogi who’s been practicing for 10 years, it’s very easy to get stuck in a practice, a sequence, or just get used to your own movements. Those some of these pastors were a pretty intense on my knees first thing in the morning, I made sure to use modifications. My body feels warm, and I feel fully present in the practice, my intention being to spend time in a space that serves me.",Thai Maat,2021-03-13T14:11:51Z,0
"Thank you for the flow, but at least for me, it was way to fast and I think also your asanas would have needed more time. The way you rush through the asanas has little to do with the yoga I love. I really hope there are no inexperienced yogis trying to to yoga with this. <br />But thank you for the flow !",Tamara Kaiser,2021-03-10T06:35:23Z,0
"I am definitely  warm , I loved this. I was a beat behind you but I like that I kept my pace and listened to my body while also following your flow.",🖤💕💐🌺🌹🦜☘️,2021-03-06T11:29:32Z,0
thank you :),Ангелина Плаксина,2021-03-01T08:57:27Z,0
I really wanted to do this but the music is throwing it off,Tamyra,2021-02-23T13:18:59Z,0
I wish her transitions would have been better. She was sitting and said to place your hands on your mat then she was in downward dog with no explanation of getting there. I&#39;ve done a lot of yoga and transitions mean everything.,Bethany Goodpaster Bragenzer,2021-02-18T12:37:57Z,0
This is my 3* per week return-to yoga session; absolutely love it. Many thanks @Phyllicia.,Paul Stanley,2021-02-17T18:43:59Z,1
