comment,id,date,num_likes
YOUR CUPS SPREAD CANCER<br />@steven Crowder,wisselgaming,2019-06-15T07:26:44Z,0
"it&#39;s taking TOOO long to get to Steven Co-bert<br /><br /><br /><br /><br /><br /><br /><br /><br />....... he used is &quot;Investigative Journalism&quot;  and had some JOKE about how the Tariffs on Mexico would &quot;RUIN Summer&quot;<br /><br /><br />and then showed some chart with &quot;things from Mexico&quot; .... beer was # 1 on the list .... <br /><br /><br /><br />I mention this cuz  MSNBC used that Half @ $ $   chart as LEGITIMATE information and USED it in their &quot;news&quot;<br /><br /><br />now it&#39;s BAD enough that MSNBC used that clip from Steven COLT-bear ... BUT when you think of BEER here in America for say the 4th of July ... do you think of XX (dos Exes) or Corona .... OR you you think about drinking an AMERICAN beer like BUD, Coors, Miller, and my Favorite Sam Adams? <br /><br /><br /><br />now I wrote this with OUT fact checking (just like MSNBC)  so please tell me the NUMBERS for the Summer Sales in the past few years comparing ALL beers sold in America",Dosily Smith,2019-06-10T17:35:13Z,1
"this is what  MSNBC  used in their &quot;NEWS&quot; as FACTS<br /><br /><br /><br /><br /><a href=""https://www.youtube.com/watch?v=OGrOU3sXwYs"">https://www.youtube.com/watch?v=OGrOU3sXwYs</a>",Dosily Smith,2019-06-10T17:55:55Z,1
less then 13% of ALL beer sales in AMERICA are Imported .... now go and divide that number even farther ... only about 2/3rds are those 13% are from Mexico .... so about 8% of ALL beer sold in America is from MEXICO ....<br /><br /><br /><br /><br />so if NO &quot;cerveca&quot; even shows up here in America (or is So expensive that no one wants to purchase it)<br /><br /><br />your &quot;Summer will NOT be Ruined&quot;,Dosily Smith,2019-06-10T17:50:44Z,1
"Wait what, this video’s monetized? <br />Well I guess he’s safe for now",Joe H.S,2019-06-09T20:46:33Z,0
"Not as pathetic as Obama telling Russia, &#39;Cut it out.&#39; Sad lie. Mathews is a Maggot.",Jo Bckts,2019-06-08T10:31:15Z,0
How did Chris Matthews manage to hide is rock hard erection he has for Mayor Pete during this interview?  Those pants must be made of adamantium.,Jimmy Gilmore,2019-06-07T16:01:42Z,0
The BBC are worse then CNN tbh.,Tobi Olusola,2019-06-07T09:34:32Z,1
So this dick pick the left made in an attempt to bring down the president is fine but a video of Pelosi seeming drunk is a travesty???  What in the actual F?,Emily Brooks,2019-06-07T00:31:10Z,0
"SJWs used to thrive on &quot;feeling good&quot;. Now, they are filled with Spite/Hate, always looking for a lynch. Hang someone. Always Miserable.",Jo Bckts,2019-06-06T23:19:48Z,0
&gt;effing n word,Andras Braten,2019-06-06T21:43:56Z,0
When you said “rip his face off and shove it up his ass” I laughed out loud. Lol. Hearing you say that was hilarious.,Eric Martinez,2019-06-06T14:12:55Z,0
I use to think colbert is funny. But his material became boring,stars1836,2019-06-06T07:02:40Z,0
"Because I only listen to the show, I thought my video had stopped playing when you “went to sleep.”",Christian H.,2019-06-06T05:18:03Z,1
Chris Matthews would make a great rainmaker to help in drought areas.  Just let him talk and spit all over the place until you have a flood.,Mark Linstom,2019-06-06T00:28:08Z,0
