comment,id,date,num_likes
"Thank you - this is how I start my week, with one of your yoga sessions.  They&#39;re challenging and easy to follow.  And, I adore Benji too!",Karen Shifferd,2021-05-02T15:33:06Z,0
wow! once again...incredible!!!,Devon Reine,2021-05-01T14:45:19Z,0
"I hesitated to click on this video, it being 36 minutes. My mind jumped in and said &quot;you don&#39;t have time for that!&quot; &amp; &quot;I don&#39;t know if I want to commit to that&quot; but I&#39;m sure glad I did &lt;3 my body sureeee needed that.",Courtney Heatherington,2021-04-30T17:12:25Z,0
"Another amazing practice! Thank you, namaste 🙏🏼",Bernardita Sandoval,2021-04-29T14:59:19Z,0
"<a href=""https://www.youtube.com/watch?v=idkqe6qLMfo&amp;t=22m00s"">22:00</a> i looked",Em Q,2021-04-27T09:01:21Z,0
"Thanks, Adriene",CEEB33,2021-04-27T01:46:33Z,0
thank you so much for this adriene 💓,Qian Hui,2021-04-24T05:13:45Z,0
"April 22 2021, great to see you all here, I absolutely love yoga with Adriene, do it daily, a fabulous way to start the day, amazing for body and mind and much needed during this Plandemic, yes, Plandemic, not a typo. Namaste beautiful people and a massive massive thanks to Adriene, love you chica",Julie Lourens,2021-04-22T10:04:52Z,0
"close your eyes, make a wish.. I really waited for the rest to come. :) Thank you Adriene for this wonderful practice. I felt instantly amazing. &lt;3",Sevgi Ekicigil,2021-04-21T18:07:33Z,0
"Good Morning. I love those thirty day practice, but I am a little confused with April and the order of the videos...",Florence Granteral Fall,2021-04-19T13:25:50Z,0
Monthly playlists are the best :*,maaarianga moon,2021-04-18T21:37:17Z,0
"@<a href=""https://www.youtube.com/watch?v=idkqe6qLMfo&amp;t=2m22s"">2:22</a> 🤣",Lynn Liebert,2021-04-17T23:56:40Z,0
Love,F0rg0tten Virtue,2021-04-14T19:14:53Z,0
"Ah, that was refreshing!",Ginatus,2021-04-14T06:53:39Z,1
"Hello to everyone,I skipped this on April 3 and did it this morning..that was to me one of the best ever practice I did since year.<br />Thank you so much Adriene",ute silvera,2021-04-11T13:17:57Z,0
"at least i found out, that i hate to repeat the same two poses over 10 times in yoga.",gergoke323,2021-04-11T10:05:43Z,0
Awesome practice! Thank you Adrienne!,Veronica Chavez,2021-04-10T21:52:38Z,1
"It was wonderful, thank you ! I got a bit impatient around the end with the reverse triangle movements but I am proud I did it !",Diane Indart,2021-04-10T07:13:28Z,0
it&#39;s the best think to do for after work! Thx @yogawithadriene for your channel and those yoga sessions. they are balsam for the soul.,Magdalena Claus,2021-04-09T20:33:47Z,0
Love this lovely flow 😊🙏💕,Carol Hollis,2021-04-09T17:03:43Z,1
Thank you Adriene. Have a great day!,Katharine Vincent,2021-04-09T13:36:36Z,1
During the session it dawned upon me that lifting the beach ball is akin to Goku channeling the Spirit Bomb in Dragon Ball Z.,thegreypilgrim1,2021-04-08T23:52:07Z,0
Good,jayasudhan s,2021-04-07T13:06:12Z,0
"I didn&#39;t start on the right day, but 3 practices in and loving it! I&#39;ve felt amazing since starting my yoga journey and proud I was brave enough to begin my journey ❤",Kirsten Jackson,2021-04-07T12:46:47Z,0
"I recovered from COVID a week ago and while I used to be fit and work out almost every day, I now can barely do a lunge without feeling exhausted. Doing this practice today felt like I was starting from scratch, it was all difficult and I had to take breaks. But thank you Adriene for moving slowly and reminding me to respect my body. &lt;3 &lt;3",TheRanaviv,2021-04-06T17:28:00Z,0
So awesome practicing with you daily.  I feel so powerful now inside and out.  Yoga is amazing and it would be wonderful if all would embrace it to quiet the mind and strengthen the body.  My life has totally transformed in the past 3 years of regularly practicing yoga.  The most important transformation is the connection with my inner self.  Thank you so much Adriene. Namaste!,Ellen Maher,2021-04-06T15:28:04Z,1
Thank you for day 3..on to the next one. 🙏,Priya Sedha,2021-04-06T07:23:59Z,0
This was a great one. Simply put but great... thank you =),Dani Sibelman,2021-04-05T12:00:12Z,0
Day 393 in books ❤️,Rahul Malik,2021-04-05T02:46:06Z,0
Bravo! I saved the long one for today because I don&#39;t have as much time tomorrow morning. I don&#39;t know the correct names but I think I got that number 7 move down even better. My shoulders are tense and I&#39;m feeling it in my abs. Thank you. How is everyone doing? Stay safe yoga tribe. Your love and positive ju-ju travels far! xo Thank you!,Penny Kazmierski,2021-04-04T22:57:00Z,1
"It&#39;s crazy, every time I think I found my new favourite practice another one pops.. 🙏",Hind LEKAM,2021-04-04T22:24:44Z,2
Love this practice! It truly rejuvenates me.,Joyce Long,2021-04-04T22:06:06Z,1
Fabulous....loved this 🌸💕💕 Renew April 2021,Judi Baldock,2021-04-04T21:02:42Z,1
Yesss amazing ❤️❤️❤️,Δημήτρης Χ.,2021-04-04T17:47:38Z,1
"As always, I love these practices and your channel.",Brittany,2021-04-04T17:28:07Z,2
"“Give  yourself permission to do nothing” Made me giggle, probably because i heard my three kids tearing the place apart downstairs. I’m ready for the mess now. Thank you, as always, for making me a less stressed out mom. Namaste from Holland",Renee van Someren Greve,2021-04-04T15:45:43Z,10
"I&#39;m so grateful for these practices. I am not athletic or fit at all, but I can feel my strength building. Coming down from plank, I nearly made it all the way to the ground without dropping today! I was amazed and smiled a little. It felt great. It&#39;s wonderful to be doing this along with so many others.",miette8179,2021-04-04T15:02:35Z,2
"You&#39;re the best, thank you for all you do adriene!",Ally Sierra,2021-04-04T13:39:03Z,2
Thank you for this practice!1 Day 93!,Follow your own Wild,2021-04-04T13:20:45Z,1
"Oh Yeah!  Second time around on this session.  Mr. Lower Back was abusive  when I got out of bed.  So, I came down stairs and turned you on.  Nice &amp; slow in doing the positions and now Mr. Lower Back has returned to normal for the day.  If not, I&#39;ll do a evening session.  Thanks and Happy Easter Tex!",Tony Rodriguez,2021-04-04T13:09:39Z,2
"Sending respect and love to you, Adriene. Namaste",andrew abrehart,2021-04-04T11:20:27Z,2
