comment,id,date,num_likes
LOVED this workout! Unique and challenging moves. Thanks Anna! ♥️,Layla Al-Najjar,2021-05-04T19:01:12Z,0
I have joined the Anna fan club. I started searching for her name in this channel and haven&#39;t been disappointed once!,Krysta Kaner,2021-04-21T22:07:42Z,0
What if I don&#39;t have medium weight,Letitia byrd,2021-04-20T14:03:09Z,0
no more baby jokes plz,Amy Halldin,2021-04-15T00:10:52Z,0
"Me too , but why ?",huichun HO,2021-04-14T11:30:47Z,0
I love that popsugar shows beautiful real and different bodies☺️.,Bubbles Masuku,2021-04-13T10:19:05Z,0
a great one! Definitely will do this one again,Martyna Kozłowska,2021-04-11T14:28:32Z,0
I love all of annas workouts. She always makes sure i workout safely and her videos get results.,Beautiful Bee,2021-04-07T21:05:02Z,0
This type of workout is exactly what i needed! I have done it twice and my shoulders and arms are feeling stronger already! Whoohoo! Thanks!,Stephanie Vicario,2021-04-02T11:38:14Z,0
"I LOVE Anna! And y’all make me feel like I’m working out with friends! This is a great one for posture, I need it!",Brighter Fitness,2021-03-23T00:31:09Z,0
I loved this because all of the moves are pretty unique. its hard to find an arm workout that doesn&#39;t consist of biceps curls or tricep presses! It kept me engaged throughout.,Jenna Gadille,2021-03-19T18:35:12Z,1
"Thank you Anna, you are such a friendly and empathetic person!",Nuria Tatiana,2021-03-19T14:42:25Z,0
Thanks👏⚘,riham galal,2021-03-06T19:11:53Z,0
Absolutely amazing workout 💪<br />But the adds are annoying as other ppl have said,Andra Maguire,2021-03-04T14:50:16Z,1
"Good workout but not enough biceps and not enough focus on all ab work. Mostly shoulders, obliques and some triceps. Based on the title I was looking for a more rounded arm and ab workout.<br />Still thankful for all PS workout videos 😊",M & M,2021-03-03T21:17:15Z,0
You are the best,trina newlin,2021-03-03T18:32:42Z,0
LOVED this workout!!,Danielle Buda,2021-03-03T17:24:47Z,1
"OUCH!!! itys burning ,,,,",Butterfly Londrès Le Bon,2021-03-02T04:42:45Z,0
It&#39;d be really great if you captioned your videos!,Shelby H,2021-02-24T02:21:00Z,0
"Thank you, Anna, for this workout, I literally  was so stressed and now I don&#39;t even remember why, my body says thanks &lt;3",Alexandra Villarino,2021-02-23T04:54:33Z,1
I&#39;m soooo doing this workout at the gym on Wednesday! Need to get rid of my flabby piggy arms fat 💪🐷,Chanelle,2021-02-22T18:17:15Z,1
"I love Allie Cohen, Masy Arias etc But for some reason I cannot stand Anna. She bothers me. Hate when she’s one of the girls in the back in my workout vids.",kat s,2021-02-19T00:44:30Z,0
Love Fitness!,Fortis Cuore,2021-02-17T19:42:39Z,0
Excellent workout with good variety. Anna gives the best instruction by far. More Anna videos please!,Laura La Porte,2021-02-16T13:52:11Z,1
This was tough!! An isolated shoulder and upper arm exercise for sure. But it’s doable—Anna never kills us. She’s a mom who pushes her kid but would never be rough about it.,ingrid3578,2021-02-16T06:09:26Z,0
Anna is the best!!,Lilian Ros,2021-02-10T01:53:11Z,0
"Anna is leaving popsugar for good, I am devastated 😭😭",Roselline Joy S. Wang,2021-02-09T13:10:33Z,0
Love Popsugar!!!,Debra Schroder,2021-02-09T06:44:19Z,0
"Anna , you are great in all your workouts",Luzma Hughes,2021-02-08T19:07:39Z,0
"Anna! I hope you&#39;re back at least every once in a while (more often would be better, but I won&#39;t push it!). I&#39;m putting in a request. Can you do a 15-20 minute stretch routine? I&#39;d love to have one of those with you leading. Thanks!",elvisfan61,2021-02-07T17:00:19Z,0
Anna&#39;s back! Hearing her says she&#39;s proud of us made me so happy. We are all so proud of you Anna for being an amazing instructor and for becoming a mama! &lt;3,Faith Perry,2021-02-06T18:17:43Z,3
"So effective trainning.. feel my back, arms, shoulders are working so well... love you anna",Faten Mazzawi,2021-02-06T11:21:34Z,2
Love seeing more diverse models! Shows that the way your body looks does not determine your fitness or the level of intensity you have to choose :),yeaah004,2021-02-05T17:05:59Z,4
